Wavelength (nm),Power
692.789,0.00090034
693.847,0.000703934
694.904,0.000507528
695.961,0.000311123
697.018,0.00090034
698.076,0.00090034
699.133,0.000703934
700.19,0.000703934
701.248,0.000507528
702.305,0.00090034
703.362,0.00090034
704.419,0.001096746
705.477,0.001096746
706.534,0.000507528
707.591,0.000507528
708.648,0.000703934
709.706,0.000703934
710.763,0.000703934
711.82,0.000703934
712.878,0.000703934
713.935,0.000703934
714.992,0.001096746
716.049,0.00090034
717.107,0.00090034
718.164,0.000703934
719.221,0.000703934
720.278,0.000507528
721.336,0.000507528
722.393,0.000507528
723.45,0.00090034
724.507,0.000703934
725.565,0.000703934
726.622,0.000507528
727.679,0.000507528
728.737,0.001096746
729.794,0.000703934
730.851,0.000703934
731.908,0.000703934
732.966,0.000703934
734.023,0.000703934
735.08,0.000703934
736.137,0.000703934
737.195,0.00090034
738.252,0.001096746
739.309,0.001489557
740.366,0.001489557
741.424,0.001096746
742.481,0.001096746
743.538,0.001096746
744.596,0.000703934
745.653,0.00090034
746.71,0.001293151
747.767,0.001293151
748.825,0.001293151
749.882,0.001489557
750.939,0.00090034
751.996,0.00090034
753.054,0.001096746
754.111,0.00090034
755.168,0.000703934
756.225,0.000703934
757.283,0.000703934
758.34,0.00090034
759.397,0.00090034
760.455,0.000507528
761.512,0.00090034
762.569,0.00090034
763.626,0.00090034
764.684,0.001096746
765.741,0.000703934
766.798,0.000703934
767.855,0.00090034
768.913,0.000703934
769.97,0.000703934
771.027,0.00090034
772.085,0.001096746
773.142,0.00090034
774.199,0.001096746
775.256,0.001096746
776.314,0.001293151
777.371,0.001489557
778.428,0.001096746
779.485,0.00090034
780.543,0.001293151
781.6,0.001096746
782.657,0.001096746
783.714,0.001489557
784.772,0.001685963
785.829,0.001685963
786.886,0.001685963
787.944,0.001489557
789.001,0.001489557
790.058,0.001685963
791.115,0.001489557
792.173,0.001096746
793.23,0.001096746
794.287,0.001489557
795.344,0.001096746
796.402,0.00090034
797.459,0.001096746
798.516,0.001096746
799.573,0.001293151
800.631,0.001489557
801.688,0.001489557
802.745,0.001489557
803.803,0.001489557
804.86,0.001685963
805.917,0.001489557
806.974,0.001096746
808.032,0.001293151
809.089,0.001685963
810.146,0.001489557
811.203,0.001489557
812.261,0.001293151
813.318,0.001293151
814.375,0.001489557
815.433,0.001293151
816.49,0.001096746
817.547,0.001489557
818.604,0.001489557
819.662,0.001685963
820.719,0.001489557
821.776,0.001293151
822.833,0.001293151
823.891,0.001096746
824.948,0.001489557
826.005,0.001489557
827.062,0.001293151
828.12,0.001096746
829.177,0.001685963
830,0.001489557
